datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-05-25,199.7,205.66,197.72,204.1,992843.927,396003,508564.407,484279.52,61.12924676580824,10.744999999999996
2020-05-26,204.1,205.05,196.68,200.91,1053386.195,369707,515182.166,538204.0290000001,56.87614399023795,10.849285714285712
2020-05-27,200.89,208.48,200.69,208.27,949312.616,354584,519768.571,429544.04500000004,55.49678881752929,10.454999999999997
2020-05-28,208.27,220.79,204.55,220.32,1302485.446,456508,698082.969,604402.477,59.7814953909184,10.87285714285714
2020-05-29,220.31,225.0,217.0,220.65,1412528.305,503061,694278.85,718249.455,66.25720732013035,10.531428571428567
2020-05-30,220.65,247.85,218.77,243.74,2496490.987,755218,1285275.98,1211215.0070000002,72.30167712727646,11.87571428571428
2020-05-31,243.73,245.3,229.54,231.55,2064900.485,558819,979536.079,1085364.406,61.97005056398289,12.239999999999995
2020-06-01,231.55,252.8,230.61,248.9,2168854.578,587226,1134653.651,1034200.9270000001,65.17054056460948,13.08928571428571
2020-06-02,248.91,254.48,220.0,237.73,1997511.516,660078,945637.486,1051874.03,59.33673883077921,15.07571428571428
2020-06-03,237.74,245.23,233.3,244.52,1177836.333,488449,609178.834,568657.4990000001,63.782102408677616,15.225714285714279
2020-06-04,244.52,246.7,235.75,243.28,1658566.857,566658,804490.529,854076.3280000001,69.33414253511356,14.573571428571423
2020-06-05,243.29,248.36,238.68,240.13,1287620.696,492819,628943.722,658676.974,64.94676494676494,14.317142857142851
2020-06-06,240.12,244.89,237.91,242.05,838620.358,395601,425877.028,412743.33,66.00324207492795,14.334999999999994
2020-06-07,242.06,245.61,234.64,244.66,1343974.146,449450,660432.69,683541.456,71.04080868588542,14.311428571428568
2020-06-08,244.67,248.05,241.04,246.65,857037.392,359385,431628.766,425408.626,70.37249832423632,14.245
2020-06-09,246.64,250.1,237.3,243.98,1120313.696,423086,548534.685,571779.0109999999,70.72466557597919,14.561428571428568
2020-06-10,243.98,251.0,241.0,247.95,1101191.092,417318,572161.041,529030.051,69.73736569836846,14.719285714285713
2020-06-11,247.95,250.34,225.33,230.48,1937518.384,581593,891482.445,1046035.9390000001,54.79516707570322,15.345714285714283
2020-06-12,230.48,239.38,228.3,237.46,958938.087,393900,489143.223,469794.86400000006,57.465138999911176,15.565714285714282
2020-06-13,237.47,238.88,234.6,238.17,562091.362,311442,279284.772,282806.58999999997,46.91275911761445,13.794285714285712
2020-06-14,238.14,238.59,229.9,231.92,787142.212,323956,356707.362,430434.85000000003,50.21953245520349,13.289285714285711
2020-06-15,231.92,233.64,218.02,230.86,1960437.997,520180,967115.382,993322.615,36.731391585760534,12.819999999999995
2020-06-16,230.85,236.0,228.75,235.22,989098.472,314960,491937.731,497160.7409999999,47.948340689880666,10.874999999999996
2020-06-17,235.22,237.5,227.47,233.75,1098414.164,321599,521069.103,577345.0610000001,40.358102059086825,10.739285714285712
2020-06-18,233.73,234.7,227.81,231.26,722224.653,255571,326354.777,395869.87600000005,39.47460595446584,10.449285714285711
