datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-04-23,7120.06,7802.38,7020.0,7483.35,472510.047,1298970,243729.506,228780.54100000003,53.84843881602696,369.74000000000007
2020-04-24,7483.36,7612.91,7388.0,7504.11,278378.368,808016,139206.084,139172.284,64.30193188607848,346.59071428571434
2020-04-25,7504.62,7722.33,7433.0,7534.01,243266.807,645606,125411.352,117855.455,64.51458211430759,353.90071428571434
2020-04-26,7534.01,7709.57,7476.86,7694.17,269921.936,720885,139301.802,130620.13399999999,66.48759145923441,342.07142857142856
2020-04-27,7693.63,7795.6,7623.98,7774.0,290336.169,755785,145954.546,144381.623,69.42052460208586,329.83071428571435
2020-04-28,7774.0,7780.0,7662.49,7735.75,217652.761,588167,107731.862,109920.899,67.94783095714628,322.1814285714286
2020-04-29,7735.76,8988.66,7710.0,8784.2,871197.569,2033439,454524.1,416673.46900000004,83.55498855856497,390.1992857142858
2020-04-30,8784.05,9479.77,8400.0,8624.76,944211.711,2329118,459375.562,484836.14900000003,76.2514315586019,415.49785714285724
2020-05-01,8623.61,9065.0,8619.84,8830.52,417820.386,1303431,204405.421,213414.965,79.76047825342691,435.93785714285724
2020-05-02,8830.52,9020.0,8755.01,8975.18,295769.728,893324,145364.355,150405.373,79.24588171752632,434.7307142857144
2020-05-03,8975.18,9200.0,8727.24,8900.0,451322.713,1308158,217371.059,233951.65399999998,80.58451388340615,453.96928571428583
2020-05-04,8899.99,8954.94,8526.0,8873.98,440135.307,1272135,218397.554,221737.75299999997,88.7060877319599,450.8507142857144
2020-05-05,8873.99,9118.17,8766.12,9022.78,409920.13,1172631,199885.621,210034.509,89.2584526479213,463.08000000000004
2020-05-06,9022.76,9405.0,8916.01,9148.27,507753.8,1337479,249555.756,258198.044,88.61800692310325,473.5557142857143
2020-05-07,9148.29,10080.0,9022.0,9995.0,738920.219,2004469,369859.624,369060.59500000003,90.38762731433089,493.24285714285713
2020-05-08,9994.74,10045.03,9726.0,9807.49,458034.211,1342120,222614.924,235419.287,85.15344089763074,499.96571428571434
2020-05-09,9809.63,9923.98,9528.23,9550.67,411941.957,1189983,196911.183,215030.774,78.78393422968226,507.56714285714287
2020-05-10,9550.25,9580.0,7940.0,8719.53,842909.031,2157408,410046.262,432862.769,62.28246703465195,608.0878571428573
2020-05-11,8723.23,9164.0,8151.12,8561.09,805164.964,2107410,406724.545,398440.41900000005,59.25402509940766,668.1778571428573
2020-05-12,8560.73,8981.0,8520.43,8808.71,369716.041,1104068,189935.399,179780.64200000002,62.02314625979927,692.6821428571429
2020-05-13,8808.71,9397.0,8790.04,9305.91,379719.0,1154539,198949.784,180769.216,56.67010159020764,644.7035714285714
2020-05-14,9305.91,9950.0,9250.66,9786.8,602528.438,1596856,306992.154,295536.284,63.728362624224395,617.53
2020-05-15,9787.62,9843.5,9100.0,9310.73,504107.096,1399261,247709.009,256398.08700000003,55.33262114747799,638.84
2020-05-16,9311.21,9585.0,9210.03,9374.99,287768.201,918028,149815.483,137952.718,54.520518207124546,646.6957142857143
2020-05-17,9374.99,9880.0,9317.16,9678.57,300859.34,973266,156225.07,144634.27000000002,58.37069434499427,653.13
2020-05-18,9677.31,9958.67,9450.0,9731.1,363732.37,1065425,182681.387,181050.983,59.16298203152396,658.8249999999999
2020-05-19,9731.11,9900.0,9462.0,9773.64,376313.845,1062705,191772.049,184541.79599999997,58.21362468878669,664.9642857142857
2020-05-20,9772.66,9838.0,9281.42,9508.11,334423.59,920679,166431.866,167991.72400000002,53.81926017754721,669.7921428571428
2020-05-21,9508.0,9573.0,8812.2,9060.0,461439.193,1286185,228136.236,233302.95700000002,39.158766673468996,648.5635714285714
2020-05-22,9060.0,9259.38,8920.0,9166.4,276008.073,772928,144234.318,131773.75499999998,42.424127833462926,650.0171428571427
2020-05-23,9166.43,9300.0,9076.9,9176.41,201589.66,582528,103801.023,97788.637,45.30333908922978,637.6849999999998
2020-05-24,9176.32,9294.44,8674.0,8711.37,339643.378,872058,167958.764,171684.61400000003,49.88723737086192,564.8592857142856
2020-05-25,8711.37,8977.0,8623.38,8895.65,302980.106,775095,158161.834,144818.27200000003,54.590484240105816,517.7692857142856
2020-05-26,8895.66,9011.82,8693.18,8837.05,275619.158,736181,139848.562,135770.596,50.41012549782348,507.63142857142844
2020-05-27,8837.88,9230.0,8811.0,9197.32,272253.998,700725,143948.195,128305.80300000001,48.36367691245919,494.20571428571424
2020-05-28,9197.32,9621.65,9110.97,9569.59,327412.374,801469,172464.347,154948.027,46.61612904230891,480.72999999999996
2020-05-29,9569.58,9598.0,9317.42,9422.26,238691.299,627717,118443.514,120247.785,51.93578061268768,447.66428571428565
2020-05-30,9422.11,9753.0,9326.01,9695.0,255234.058,691896,132940.629,122293.429,55.17944601081823,451.38
2020-05-31,9694.38,9698.0,9371.76,9446.43,219829.356,676486,105922.349,113907.007,46.17463466722914,434.47999999999996
2020-06-01,9446.49,10497.25,9420.85,10232.48,333740.457,922467,177298.14,156442.31699999998,56.65359074670757,475.0321428571428
2020-06-02,10232.41,10262.3,9264.15,9514.9,354168.517,939395,170346.23,183822.28699999998,47.08808448764062,515.0428571428571
2020-06-03,9514.9,9694.75,9382.33,9663.59,185389.412,571997,95209.61,90179.80200000001,51.79706607118915,497.60285714285703
2020-06-04,9663.58,9884.0,9440.0,9788.33,264515.319,769445,135545.415,128969.90400000001,59.09827935551409,474.97428571428566
2020-06-05,9788.32,9855.0,9580.52,9617.29,237103.042,674699,114621.744,122481.29799999998,55.542988928528416,470.3385714285714
2020-06-06,9616.64,9738.77,9528.0,9664.0,152526.703,507355,78270.202,74256.501,55.94055425192074,469.4578571428571
